Ligand_ID,Target,Affinity
CHEMBL1743213,Interface,-8.6
compound_127433005_3d,Interface,-8.6
compound_92567919_3d,Interface,-8.6
compound_73976231_3d,Interface,-8.6
CHEMBL518374,Interface,-8.6
compound_51001603_3d,Interface,-8.6
compound_136951058_3d,Interface,-8.6
compound_3992081_3d,P3,-8.5
compound_89703645_3d,Interface,-8.5
compound_69204715_3d,Interface,-8.5
compound_53715463_3d,Interface,-8.5
compound_3992081_3d,Interface,-8.5
compound_142313272_3d,Interface,-8.5
compound_122394621_3d,Interface,-8.5
compound_54253722_3d,Interface,-8.5
compound_137019925_3d,Interface,-8.5
compound_145899651_3d,Interface,-8.5
compound_139496505_3d,Interface,-8.4
compound_47925743_3d,Interface,-8.4
compound_25857302_3d,Interface,-8.4
compound_135029050_3d,Interface,-8.4
compound_108764111_3d,P3,-8.4
ml184_similar_2518725,Interface,-8.4
CHEMBL465558,Interface,-8.3
compound_19854579_3d,Interface,-8.3
compound_97156478_3d,Interface,-8.3
compound_122285268_3d,Interface,-8.3
CHEMBL2106837,Interface,-8.3
CHEMBL5095409,Interface,-8.3
compound_58407429_3d,Interface,-8.3
compound_25362787_3d,Interface,-8.3
CHEMBL5095040,Interface,-8.3
compound_52977189_3d,Interface,-8.3
CHEMBL470236,Interface,-8.3
compound_142047610_3d,P3,-8.3
compound_137112581_3d,Interface,-8.3
compound_20907571_3d,P3,-8.2
compound_45803381_3d,P3,-8.2
compound_45381483_3d,Interface,-8.2
CHEMBL2146110,P3,-8.2
compound_59285822_3d,Interface,-8.2
CHEMBL2386081,Interface,-8.2
ml184_similar_44141457,Interface,-8.2
CHEMBL2107004,Interface,-8.2
compound_89926178_3d,Interface,-8.2
compound_92824121_3d,Interface,-8.2
CHEMBL1082072,Interface,-8.2
compound_44378956_3d,Interface,-8.2
compound_124355430_3d,Interface,-8.2
CHEMBL518341,Interface,-8.2
compound_9419111_3d,Interface,-8.2
ml184_similar_125622908,Interface,-8.2
compound_60051374_3d,Interface,-8.2
am251_similar_59703686,Interface,-8.2
CHEMBL500121,Interface,-8.2
compound_2328929_3d,Interface,-8.2
compound_14271413_3d,Interface,-8.2
CHEMBL3301613,Interface,-8.2
compound_53029457_3d,Interface,-8.2
CHEMBL2229118,Interface,-8.1
compound_36512461_3d,Interface,-8.1
compound_6724208_3d,Interface,-8.1
am251_similar_66845301,Interface,-8.1
compound_27763863_3d,Interface,-8.1
compound_40035893_3d,P3,-8.1
CHEMBL1165343,Interface,-8.1
compound_29536979_3d,Interface,-8.1
am251_similar_69053215,Interface,-8.1
CHEMBL2106966,Interface,-8.1
compound_69221878_3d,Interface,-8.1
CHEMBL3989502,Interface,-8.1
am251_similar_10982154,Interface,-8.1
compound_76905319_3d,Interface,-8.1
compound_2961621_3d,P3,-8.1
